1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7
8,7,6,4,5,8,8,8,8,8,8,8,8,8,8,8,8
7,6,4,3,7,8,9,9,9,9,9,9,9,9,9,9,9
10,7,6,5,7,10,10,10,10,10,10,10,10,10,10,10,10
9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5
4,4,4,4,4,4,4,4,4,4,4,4,6,7,8,9,8
3,3,3,3,3,3,3,3,3,3,3,6,7,8,9,10,9
2,2,2,2,2,2,2,2,2,2,4,5,6,7,8,9,8
1,1,1,1,1,1,1,1,1,1,3,4,5,6,7,8,7
